E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
29.8504,8.241767e+18,9.431769e+18,6.350126e+19,9.546685e+19,71658600000000.0,5.3573392834e+20,7.123756459986e+20,7.174309865859999e+19,6.4063254734e+20
31.4047,7.816705e+18,8.61765e+18,6.052591e+19,8.797525e+19,84879399999999.97,5.1864191512e+20,6.835775149994e+20,6.83426998794e+19,6.1523481512e+20
33.0399,7.412739e+18,7.863713e+18,5.769386000000001e+19,8.097131e+19,99625600000000.06,5.0147890037e+20,6.554206219956001e+20,6.510669862560001e+19,5.9031392337e+20
34.7602,7.028831e+18,7.165926e+18,5.499789e+19,7.442962e+19,115792000000000.0,4.8409488421e+20,6.27717267002e+20,6.2026836792e+19,5.6569043020999996e+20
36.5701,6.663975e+18,6.521167e+18,5.243124e+19,6.832596e+19,133254999999999.94,4.6673886675e+20,6.00681342005e+20,5.9095348255e+19,5.4158599375000004e+20
38.4743,6.317225e+18,5.92575e+18,4.998752e+19,6.263713e+19,152278000000000.0,4.4923084772e+20,5.7409862499800003e+20,5.6304897278000005e+19,5.1779372772e+20
40.4776,5.987709e+18,5.376784e+18,4.766054e+19,5.73411e+19,173636000000000.0,4.3131582636e+20,5.47682132996e+20,5.3648422636e+19,4.9403371036e+20
42.5852,5.674568e+18,4.871385e+18,4.544448e+19,5.241646e+19,198318000000000.1,4.1287780168e+20,5.2128489299800005e+20,5.1119246318e+19,4.7016564668000004e+20
44.8025,5.376999e+18,4.40674e+18,4.333389e+19,4.784313e+19,228227000000000.0,3.9559777177e+20,4.96558758997e+20,4.8711117227000005e+19,4.4784764177e+20
47.1353,5.094223e+18,3.980008e+18,4.132346e+19,4.360171e+19,265030000000000.0,3.7790073497e+20,4.71900401e+20,4.6417948030000005e+19,4.2548245296999996e+20
49.5896,4.825514e+18,3.588721e+18,3.940827e+19,3.967345e+19,310140000000000.0,3.5995668986e+20,4.47452955e+20,4.423409414e+19,4.0321886086000004e+20
52.1717,4.570183e+18,3.230531e+18,3.758358e+19,3.604028e+19,365485000000000.0,3.4194963451e+20,4.23374573995e+20,4.2154128485e+19,3.8122044551e+20
54.8882,4.327575e+18,2.903122e+18,3.584496e+19,3.268525e+19,429824000000000.0,3.2509157018e+20,4.0085290700399994e+20,4.0172964824e+19,3.6067994218e+20
57.7462,4.097056e+18,2.604338e+18,3.418813e+19,2.959173e+19,502039000000000.2,3.0794449796e+20,3.78426253999e+20,3.8285688039e+19,3.4014056596e+20
60.7529,3.878044e+18,2.332164e+18,3.260906e+19,2.674369e+19,580677000000000.0,2.9122341932e+20,3.5678695799699997e+20,3.6487684677e+19,3.2029927332e+20
